ticker,start_date,end_date,period_months,cumulative_return,sp500_return,abnormal_return,sue,surprise,reported_eps,eps_estimate
BB,12/21/23,2/21/24,2,-0.2409,0.0497,-0.2906,1.1932,0.04,0.01,-0.03
BB,12/21/23,3/21/24,3,-0.2213,0.1059,-0.3272,1.1932,0.04,0.01,-0.03
BB,9/29/23,10/29/23,1,-0.225,-0.0389,-0.1861,0.5966,0.02,-0.04,-0.06
BB,9/29/23,11/29/23,2,-0.1432,0.0639,-0.2071,0.5966,0.02,-0.04,-0.06
BB,9/29/23,12/29/23,3,-0.1955,0.1168,-0.3123,0.5966,0.02,-0.04,-0.06
BB,6/29/23,7/29/23,1,-0.141,0.0308,-0.1718,3.2813,0.11,0.06,-0.05
BB,6/29/23,8/29/23,2,-0.0235,0.0133,-0.0368,3.2813,0.11,0.06,-0.05
BB,6/29/23,9/29/23,3,-0.1483,-0.0322,-0.116,3.2813,0.11,0.06,-0.05
BB,4/1/23,5/1/23,1,-0.1435,0.0111,-0.1546,0.8949,0.03,-0.02,-0.05
BB,4/1/23,6/1/23,2,0.1854,0.0265,0.159,0.8949,0.03,-0.02,-0.05
BB,4/1/23,7/1/23,3,0.2208,0.0827,0.1381,0.8949,0.03,-0.02,-0.05
NOK,1/31/25,2/28/25,1,0.039,-0.006,0.045,1.7321,0.06,0.19,0.13
NOK,1/31/25,3/31/25,2,0.1407,-0.0614,0.2021,1.7321,0.06,0.19,0.13
NOK,1/31/25,4/30/25,3,0.1558,-0.0587,0.2146,1.7321,0.06,0.19,0.13
NOK,10/18/24,11/18/24,1,-0.0626,0.0077,-0.0704,-0.2887,-0.01,0.07,0.08
NOK,10/18/24,12/18/24,2,-0.0773,0.0045,-0.0819,-0.2887,-0.01,0.07,0.08
NOK,10/18/24,1/18/25,3,-0.0521,0.0273,-0.0795,-0.2887,-0.01,0.07,0.08
NOK,7/19/24,8/19/24,1,0.1222,0.0089,0.1133,0.5774,0.02,0.07,0.05
NOK,7/19/24,9/19/24,2,0.1465,0.0294,0.117,0.5774,0.02,0.07,0.05
NOK,7/19/24,10/19/24,3,0.2814,0.0572,0.2241,0.5774,0.02,0.07,0.05
NOK,4/19/24,5/19/24,1,0.0596,0.0595,0.0001,1.1547,0.04,0.1,0.06
NOK,4/19/24,6/19/24,2,-0.0027,0.0976,-0.1003,1.1547,0.04,0.1,0.06
NOK,4/19/24,7/19/24,3,-0.0108,0.1021,-0.113,1.1547,0.04,0.1,0.06
NOK,1/26/24,2/26/24,1,-0.0831,0.03,-0.1131,-1.1547,-0.04,0.11,0.15
NOK,1/26/24,3/26/24,2,-0.0805,0.0593,-0.1399,-1.1547,-0.04,0.11,0.15
NOK,1/26/24,4/26/24,3,-0.0402,0.0378,-0.078,-1.1547,-0.04,0.11,0.15
NOK,10/20/23,11/20/23,1,0.1361,0.0804,0.0557,-1.1547,-0.04,0.05,0.09
NOK,10/20/23,12/20/23,2,0.0285,0.1182,-0.0897,-1.1547,-0.04,0.05,0.09
NOK,10/20/23,1/20/24,3,0.0854,0.152,-0.0666,-1.1547,-0.04,0.05,0.09
NOK,7/21/23,8/21/23,1,-0.0379,-0.0327,-0.0052,0,0,0.08,0.08
NOK,7/21/23,9/21/23,2,-0.0227,-0.0469,0.0241,0,0,0.08,0.08
NOK,7/21/23,10/21/23,3,-0.197,-0.0694,-0.1276,0,0,0.08,0.08
NOK,4/21/23,5/21/23,1,-0.0357,0.0145,-0.0502,-0.5774,-0.02,0.06,0.08
NOK,4/21/23,6/21/23,2,-0.019,0.058,-0.077,-0.5774,-0.02,0.06,0.08
NOK,4/21/23,7/21/23,3,-0.0619,0.0999,-0.1618,-0.5774,-0.02,0.06,0.08
NOK,1/27/23,2/27/23,1,-0.0148,-0.0071,-0.0076,0.5774,0.02,0.16,0.14
NOK,1/27/23,3/27/23,2,-0.0148,-0.0065,-0.0083,0.5774,0.02,0.16,0.14
NOK,1/27/23,4/27/23,3,-0.097,0.0334,-0.1304,0.5774,0.02,0.16,0.14
TSLA,1/30/25,2/28/25,1,-0.2759,-0.0127,-0.2632,-0.3685,-0.03,0.73,0.76
TSLA,1/30/25,3/30/25,2,-0.3486,-0.0739,-0.2747,-0.3685,-0.03,0.73,0.76
TSLA,1/30/25,4/30/25,3,-0.3365,-0.0651,-0.2714,-0.3685,-0.03,0.73,0.76
TSLA,10/24/24,11/24/24,1,0.3097,0.0284,0.2813,1.7198,0.14,0.72,0.58
TSLA,10/24/24,12/24/24,2,0.7173,0.0419,0.6754,1.7198,0.14,0.72,0.58
TSLA,10/24/24,1/24/25,3,0.5104,0.0535,0.4569,1.7198,0.14,0.72,0.58
TSLA,7/24/24,8/24/24,1,0.0003,0.0441,-0.0437,-1.2284,-0.1,0.52,0.62
TSLA,7/24/24,9/24/24,2,0.1545,0.0643,0.0901,-1.2284,-0.1,0.52,0.62
TSLA,7/24/24,10/24/24,3,0.1827,0.0791,0.1035,-1.2284,-0.1,0.52,0.62
TSLA,4/24/24,5/24/24,1,0.0532,0.0515,0.0017,-0.7371,-0.06,0.45,0.51
TSLA,4/24/24,6/24/24,2,0.0729,0.0814,-0.0086,-0.7371,-0.06,0.45,0.51
TSLA,4/24/24,7/24/24,3,0.2692,0.0784,0.1908,-0.7371,-0.06,0.45,0.51
TSLA,1/25/24,2/25/24,1,0.0476,0.0419,0.0056,-0.3685,-0.03,0.71,0.74
TSLA,1/25/24,3/25/24,2,-0.058,0.0697,-0.1277,-0.3685,-0.03,0.71,0.74
TSLA,1/25/24,4/25/24,3,-0.0713,0.0362,-0.1075,-0.3685,-0.03,0.71,0.74
TSLA,10/19/23,11/19/23,1,0.1052,0.0703,0.035,-0.7371,-0.06,0.66,0.72
TSLA,10/19/23,12/19/23,2,0.2134,0.1319,0.0814,-0.7371,-0.06,0.66,0.72
TSLA,10/19/23,1/19/24,3,0.0009,0.15,-0.1491,-0.7371,-0.06,0.66,0.72
TSLA,7/20/23,8/20/23,1,-0.1713,-0.0347,-0.1366,1.1056,0.09,0.91,0.82
TSLA,7/20/23,9/20/23,2,0.0099,-0.0265,0.0364,1.1056,0.09,0.91,0.82
TSLA,7/20/23,10/20/23,3,-0.1847,-0.0652,-0.1195,1.1056,0.09,0.91,0.82
